Compound	1_1_fame.xlsx	1_2_fame.xlsx	1_fame.xlsx	23_1_fame.xlsx	35_1_fame.xlsx	35_2_fame.xlsx	35_3_fame.xlsx	37_supelco_fame.xlsx	C15_0me_fame.xlsx	C18_0me_fame.xlsx
Furazandiamine - RT:2.9039999999999999										390184036
Heneicosane			34585359							
Heneicosanoic acid, methyl ester								225863130		
Heptadecanoic acid, methyl ester	15750755	39402496		15217303	24702898			246362492		
Heptane					399925581	712879566	434704788	672272611		
Heptane, 3-methyl-	45312414			45303091	30668966	40158431	37234901			25609328
Heptane, 4-azido-									678944851	
Heptane, 4,4-dimethyl-			28454547						25370335	
Heptane, 4,4-dimethyl- - RT:3.2570000000000001			457881203							
Hexadecanoic acid, 15-methyl-, methyl ester			24601292							
Hexadecanoic acid, methyl ester	162986321	721599329	581349974	142091328	584667117	174299694	183398647	700442004		16519815
Hexane, 2,3,3-trimethyl-	385282949	449885329		383067892	381528642	373574234	390035125	378284226	369610488	402468752
Hexane, 3-methyl-										280659204
Hexane, 3-methyl- - RT:2.9780000000000002										383903143
Hexanedioic acid, bis(2-ethylhexyl) ester		75810750			114218742					
Hexanoic acid, methyl ester								191998861		
Hexatriacontane			19805619							
Hydrazine							2448255			
Methyl 10,13,16-docosatrienoate								227507336		
Methyl 18-methylnonadecanoate								499070547		
Methyl dehydroabietate		25519623	18966092							
Methyl eicosa-5,8,11,14,17-pentaenoate					79299406		28173410			
Methyl hexadec-9-enoate	15357561	37193619	29308541	174202831	847601450		325403414	242059689		
Methyl myristoleate								221692033		
Methyl stearate	247046601	752228645	577605308	128614104	276949042	22787858		495880598		
N,N-Dimethyldecanamide		31023918								
Nonane	34922462	40579678	39528466	33377333	31650351	29441101	32133304	27650377	29661756	31623921
Nonane, 4,5-dimethyl-	456096465									
Nonane, 4,5-dimethyl- - RT:2.8849999999999998	312171123									
Octa-2,4,6-triene, 2,7-diphenyl-		24462465	17228255		56087017					
Octanamide, N,N-dimethyl-		33782201								
Octanamide, N,N-dimethyl- - RT:33.828000000000003		34888054								
Octane, 1-azido-									309949137	
Octane, 2-methyl-					520587767					
Octane, 2-methyl- - RT:2.9470000000000001					289008092					
Octanoic acid, methyl ester								254149541		
Oxalic acid, heptyl propyl ester						12056737				
Oxygen		5970695		7986651	5573681			5663324		
Oxygen - RT:24.445		16306732								
Oxygen - RT:4.7510000000000003					7184010					
Pentadecanoic acid, methyl ester	1117986468	919526290	768416988	1311904226	1480300628	653939339	716068630	236985741	245518035	
Pentatriacontane		39389853			15924982					
Propanoic acid, 2-methyl-, anhydride							670542531			
Pyrrolidine, 1-nitroso-										477709580
Silane, methyldiethoxymethoxy-			5295262							
Sulfurous acid, 2-ethylhexyl tetradecyl ester		458734814								
Tetratetracontane		29600569			14976651					
Tridecanoic acid, 12-methyl-, methyl ester		48120811	44333323	27880841	178563127	55767972	37639798	427903745		
Tridecanoic acid, methyl ester								206720221		
Undecanoic acid, methyl ester								190190163		
Unknown_2.6920000000000002								16327658		
Unknown_2.7330000000000001	7733733									
Valeric acid hydrazide									2622165	
