[Header]
Data File Name	C:\GCMSsolution\Data\Project1\240220\240220\35-1.cdf
Output Date	4/9/2020
Output Time	1:10:02 PM

[MC Peak Table]
# of Peaks	40
Mass	TIC
Peak#	Ret.Time	Proc.From	Proc.To	Mass	Area	Height	A/H	Conc.	Mark	Name	Ret. Index
1	2.710	2.701	2.744	TIC	17400645	4714277	3.69	0.20	   	Butane, 1-iodo-	
2	2.787	2.744	2.802	TIC	413448996	190082420	2.18	4.68	 V 	3-Hexanone	
3	2.822	2.802	2.831	TIC	268088213	194594319	1.38	3.04	 V 	3-Hexanone	
4	2.883	2.831	2.901	TIC	869846897	225782303	3.85	9.85	 V 	3-Hexanone	
5	2.927	2.901	2.939	TIC	520587767	236481561	2.20	5.89	 V 	Octane, 2-methyl-	
6	2.947	2.939	2.959	TIC	289008092	240670546	1.20	3.27	 V 	Octane, 2-methyl-	
7	2.972	2.959	3.017	TIC	399925581	247874343	1.61	4.53	 V 	Heptane	
8	3.030	3.017	3.066	TIC	30668966	34994055	0.88	0.35	   	Heptane, 3-methyl-	
9	3.258	3.229	3.281	TIC	381528642	313640139	1.22	4.32	   	Hexane, 2,3,3-trimethyl-	
10	3.304	3.281	3.319	TIC	5573681	2749219	2.03	0.06	 V 	Oxygen	
11	4.373	4.342	4.403	TIC	31650351	28550728	1.11	0.36	   	Nonane	
12	4.751	4.740	4.815	TIC	7184010	2573618	2.79	0.08	   	Oxygen	
13	16.047	15.980	16.110	TIC	178563127	63939660	2.79	2.02	   	Tridecanoic acid, 12-methyl-, methyl ester	
14	18.439	18.332	18.578	TIC	1480300628	393546146	3.76	16.76	   	Pentadecanoic acid, methyl ester	
15	19.904	19.822	19.970	TIC	78680914	22340526	3.52	0.89	   	5,8,11,14,17-Eicosapentaenoic acid, methyl ester, (all-Z)-	
16	20.057	19.970	20.162	TIC	51004355	9636824	5.29	0.58	 V 	.gamma.-Linolenic acid, methyl ester	
17	20.231	20.162	20.275	TIC	11208275	2850488	3.93	0.13	   	2-Methyltetracosane	
18	20.366	20.275	20.492	TIC	847601450	229364990	3.70	9.60	 V 	Methyl hexadec-9-enoate	
19	20.536	20.492	20.658	TIC	25052275	5302647	4.72	0.28	 V 	(Z)-Methyl hexadec-11-enoate	
20	20.885	20.779	21.014	TIC	584667117	169556804	3.45	6.62	   	Hexadecanoic acid, methyl ester	
21	23.382	23.302	23.476	TIC	24702898	6542434	3.78	0.28	   	Heptadecanoic acid, methyl ester	
22	24.095	24.025	24.190	TIC	26025620	7421480	3.51	0.29	   	Doconexent	
23	24.419	24.355	24.555	TIC	54830406	9906034	5.54	0.62	   	9-Methyl-10-(tetrahydropyran-2-yloxymethyl)tricyclo[4.2.1.1(2,5)]deca-3,7-dien-9-ol	
24	24.680	24.607	24.773	TIC	187407396	50110174	3.74	2.12	   	cis-7,10,13,16-Docosatetraenoic acid, methyl ester	
25	24.836	24.773	24.895	TIC	79299406	17662265	4.49	0.90	 V 	Methyl eicosa-5,8,11,14,17-pentaenoate	
26	24.944	24.895	25.008	TIC	87005510	21466078	4.05	0.99	 V 	3-Furancarboxylic acid, 4-(2,3-dihydro-1-oxo-1H-inden-2-yl)tetrahydro-5,5-dimethyl-2-oxo-, ethyl ester	
27	25.083	25.008	25.147	TIC	44650562	9374415	4.76	0.51	 V 	Bicyclo[4.4.0]dec-5-ene, 1,5-dimethyl-3-hydroxy-8-(1-methylene-2-hydroxyethyl-1)-	
28	25.240	25.147	25.347	TIC	237733795	53337179	4.46	2.69	 V 	9-Octadecenoic acid, methyl ester, (E)-	
29	25.406	25.347	25.608	TIC	170972040	29457323	5.80	1.94	 V 	9-Octadecenoic acid, methyl ester, (E)-	
30	25.773	25.608	25.825	TIC	23352029	3117796	7.49	0.26	 V 	Cyclohexanone, 6-furfurylidene-2,3-dimethyl-2-phenyl-	
31	25.900	25.825	25.999	TIC	276949042	77493537	3.57	3.14	 V 	Methyl stearate	
32	26.738	26.591	26.817	TIC	68392510	14083685	4.86	0.77	   	Bicyclo[4.1.0]heptane, 7-(phenylmethylene)-	
33	27.224	27.130	27.331	TIC	25344092	5348565	4.74	0.29	   	1H-Indene, 1-hexadecyl-2,3-dihydro-	
34	27.689	27.626	27.757	TIC	15924982	4011449	3.97	0.18	   	Pentatriacontane	
35	29.096	29.044	29.184	TIC	15137584	4080684	3.71	0.17	   	5,8,11,14-Eicosatetraenoic acid, methyl ester, (all-Z)-	
36	29.281	29.184	29.445	TIC	788538191	195682806	4.03	8.93	   	5,8,11,14,17-Eicosapentaenoic acid, methyl ester, (all-Z)-	
37	30.080	30.045	30.332	TIC	14976651	2462962	6.08	0.17	   	Tetratetracontane	
38	30.412	30.332	30.506	TIC	29140640	6290241	4.63	0.33	 V 	8-(2,6-Dimethyl-hepta-1,5-dienyl)-3,7,7-trimethyl-bicyclo[4.2.0]oct-2-ene	
39	31.545	31.454	31.663	TIC	56087017	9994930	5.61	0.63	   	Octa-2,4,6-triene, 2,7-diphenyl-	
40	32.407	32.324	32.594	TIC	114218742	24917776	4.58	1.29	   	Hexanedioic acid, bis(2-ethylhexyl) ester	

